Gene,Log2FC,PVal
ENO3,-3.3423210335355256,0.0276268017096831
ZMYND15,-3.3922918942569065,0.0026700663415409
CXCL16,-3.9024066425980055,1.1307177441963765e-13
P2RX5,-6.283987646207786,0.0095791569624824
HIC1,-2.331777261237277,4.511237173940035e-05
TLCD2,-1.970658565538091,0.0045143232339353
SLC43A2,-2.6093525760308,9.327655381618956e-05
FAM157C,-1.5962107540616466,0.0260026300490364
DBNDD1,-4.256371343108527,0.0003114169258594
SPIRE2,-2.4591465142759907,0.0166587082822009
CPNE7,-5.505813454597088,7.009198855976633e-16
SLC22A31,-5.083345750536173,0.0366975651687568
CBFA2T3,-6.973932363779986,0.0037019751839744
CYBA,-3.618526990050953,1.1487799821825542e-15
ZNF469,-6.777422143563425,0.0050777405617165
GSE1,-1.5207116227960462,1.9700657381161085e-07
KIAA0513,-2.104115690799117,2.501231848503621e-06
CRISPLD2,-6.893571307861572,0.004016062980228
ATP2C2,-5.151609396108223,1.3917506184854846e-09
OSGIN1,-2.189001801435723,0.0002427546773948
CDYL2,-4.371171557255056,2.6269831783506848e-08
FA2H,-2.9826785995149114,0.0142103049848844
CALB2,-4.908587944418583,0.0427192025222772
HAS3,-2.384715659361275,1.359618236100497e-28
SLC9A5,-1.9983715530798625,0.0240059462181281
HSF4,-2.346618316057352,0.0011906764566421
CDH11,-2.3263214841920865,0.0021166206412012
CDH8,-4.951862231090885,0.049581324577661
NDRG4,-1.8745657171880976,0.0017160567447932
CCDC113,-1.8202075042773385,0.0010113734077337
MMP15,-2.1243560805225434,3.174397228137988e-05
CNGB1,-3.04249901443149,0.0006419556131404
CCL22,-5.115904959372353,0.0365583735927362
NLRC5,-3.843436393961449,2.9649500974071087e-31
AKTIP,-2.293660725847656,0.0032555214532778
HNRNPA1P48,-1.98613349185694,0.0130259324115473
SIAH1,-2.339177718656734,0.0022753545924145
CLUHP3,-2.476189392740697,0.0020724002534067
SEZ6L2,-2.3168805033790214,0.0026572558145194
SMG1P6,-2.241032127893804,0.0032121303686992
SULT1A1,-2.1724731153729744,0.000253576780613
LCMT1-AS2,-2.4301167384745948,0.0160830623784618
SCNN1G,-3.608055615201619,0.020692298588163
TMEM159,-2.731410703265776,5.911863151684403e-05
